	hu_acinar cell	hu_co-expression cell	hu_endothelial cell	hu_mast cell	hu_nan	hu_pancreatic A cell	hu_pancreatic D cell	hu_pancreatic PP cell	hu_pancreatic ductal cell	hu_pancreatic endocrine cell	hu_pancreatic epsilon cell	hu_pancreatic stellate cell	hu_professional antigen presenting cell	hu_type B pancreatic cell
mu_endothelial cell	0.0007791948285207633	0.032642958450598045	0.8009800009566147	0.0	0.01090114169267559	0.0	0.0	0.0	0.0036007182861188874	0.0	0.0	0.011562929405769935	0.0	0.0
mu_leukocyte	0.0	0.0	0.0	0.3902484194037349	0.010995448479140697	0.00279571171598849	0.0	0.0	0.0	0.0	0.0	0.0	0.31193968344891554	0.0
mu_nan	0.03499380564658956	0.004399707828264737	0.025	0.004791397680179892	0.23840947767657578	0.001284144996973983	0.0002975368313397715	0.004078585193111851	0.009015592825406291	0.13989596932119144	0.004025392242570618	0.26927391009914187	0.0035810390510674834	0.0073797792861030765
mu_pancreatic A cell	0.016706028551184367	0.007669148112728594	0.0	0.0	0.15298302900858146	0.6040491842494309	0.0018449435334332246	0.03447618398723944	0.00013138048885697888	0.012952812866657129	0.007357428619808257	0.0	0.0	0.0
mu_pancreatic D cell	0.0069204798197319405	0.0021036284786112194	0.0	0.0	0.023909189954138967	0.00632268795109481	0.49254203553534504	0.13636729880066603	0.011530034624120557	0.010710557611241744	0.007188957125622147	0.0	0.0	0.0
mu_pancreatic PP cell	0.010280525595234886	0.0	0.0	0.0	0.0016985336963717581	0.019445369800591285	0.0	0.12054943982070603	0.02663753313663972	0.0	0.006057395667645725	0.0	0.0	0.0
mu_pancreatic acinar cell	0.01431063012831534	0.0	0.0	0.0	0.014456891787338472	0.00017913982003354157	0.0	0.0001864506832387099	0.00010237326043734639	0.01706398910133869	0.0	0.0	0.0	0.0
mu_pancreatic ductal cell	0.0004463301128154095	0.0	0.0	0.0	0.025728436438730816	0.0	0.0	0.0	0.0978092742632175	0.0	0.0	0.0	0.0	0.0
mu_pancreatic stellate cell	0.0	0.0	0.0	0.0	0.010538392209257463	0.0	0.0	0.0	0.0	0.0	0.0	0.4236224797165032	0.0	0.0
mu_type B pancreatic cell	0.012049787752438913	0.11816980226157911	0.0	0.0	0.1031145609110187	0.004520205810751709	0.007235846568178328	0.019158026858048433	0.000566511514609632	0.020565353564211367	0.00033059890185880723	0.0	0.0	0.449411801685584
